,Unnamed: 1,Unnamed: 2
478,chastised,-3.0
479,chastises,-3.0
480,chastising,-3.0
481,cheat,-3.0
482,cheated,-3.0
483,cheater,-3.0
484,cheaters,-3.0
485,cheating,-3.0
486,cheats,-3.0
487,cheer,2.0
488,cheered,2.0
489,cheerful,2.0
490,cheerfully,2.0
491,cheering,2.0
492,cheerless,-2.0
493,cheers,2.0
494,cheery,3.0
495,cherish,2.0
496,cherished,2.0
497,cherishes,2.0
498,cherishing,2.0
499,chic,2.0
500,chide,-3.0
501,chided,-3.0
502,chides,-3.0
503,chiding,-3.0
504,childish,-2.0
505,chilling,-1.0
506,choke,-2.0
507,choked,-2.0
508,chokes,-2.0
509,choking,-2.0
510,clarifies,2.0
511,clarity,2.0
512,clash,-2.0
513,classy,3.0
514,clean,2.0
515,cleaner,2.0
516,clear,1.0
517,cleared,1.0
518,clearly,1.0
519,clears,1.0
520,clever,2.0
521,clouded,-1.0
522,clueless,-2.0
523,cock,-5.0
524,cocksucker,-5.0
525,cocksuckers,-5.0
526,cocky,-2.0
527,coerced,-2.0
528,coercion,-2.0
529,collapse,-2.0
530,collapsed,-2.0
531,collapses,-2.0
532,collapsing,-2.0
533,collide,-1.0
534,collides,-1.0
535,colliding,-1.0
536,collision,-2.0
537,collisions,-2.0
538,colluding,-3.0
539,combat,-1.0
540,combats,-1.0
541,comedy,1.0
542,comfort,2.0
543,comfortable,2.0
544,comfortably,2.0
545,comforting,2.0
546,comforts,2.0
547,comic,1.0
548,commend,2.0
549,commended,2.0
550,commit,1.0
551,commitment,2.0
552,commits,1.0
553,committed,1.0
554,committing,1.0
555,compassion,2.0
556,compassionate,2.0
557,compelled,1.0
558,competencies,1.0
559,competent,2.0
560,competitive,2.0
561,complacent,-2.0
562,complain,-2.0
563,complained,-2.0
564,complaining,-2.0
565,complains,-2.0
566,complaint,-2.0
567,complaints,-2.0
568,complicating,-2.0
569,compliment,2.0
570,complimented,2.0
571,compliments,2.0
572,comprehensive,2.0
573,concerned,-2.0
574,conciliate,2.0
575,conciliated,2.0
576,conciliates,2.0
577,conciliating,2.0
578,condemn,-2.0
579,condemnation,-2.0
580,condemned,-2.0
581,condemns,-2.0
582,confidence,2.0
583,confident,2.0
584,confidently,2.0
585,conflict,-2.0
586,conflicting,-2.0
587,conflictive,-2.0
588,conflicts,-2.0
589,confuse,-2.0
590,confused,-2.0
591,confusing,-2.0
592,congrats,2.0
593,congratulate,2.0
594,congratulation,2.0
595,congratulations,2.0
596,consent,2.0
597,consents,2.0
598,consolable,2.0
599,conspiracy,-3.0
600,constipation,-2.0
601,constrained,-2.0
602,contagion,-2.0
603,contagions,-2.0
604,contagious,-1.0
605,contaminant,-2.0
606,contaminants,-2.0
607,contaminate,-2.0
608,contaminated,-2.0
609,contaminates,-2.0
610,contaminating,-2.0
611,contamination,-2.0
612,contaminations,-2.0
613,contempt,-2.0
614,contemptible,-2.0
615,contemptuous,-2.0
616,contemptuously,-2.0
617,contend,-1.0
618,contender,-1.0
619,contending,-1.0
620,contentious,-2.0
621,contestable,-2.0
622,controversial,-2.0
623,controversially,-2.0
624,controversies,-2.0
