time,value_avg
1600484400000000000,37.5378
1600488000000000000,37.5367
1600491600000000000,37.5385
1600495200000000000,37.5369
1600498800000000000,37.5380
1600502400000000000,37.5386
1600506000000000000,37.5412
1600509600000000000,37.5407
1600513200000000000,37.5415
1600516800000000000,37.5436
1600520400000000000,37.5417
1600524000000000000,37.5408
1600527600000000000,37.5393
1600531200000000000,37.5418
1600534800000000000,37.5417
1600538400000000000,37.5410
1600542000000000000,37.5428
1600545600000000000,37.5413
1600549200000000000,37.5424
1600552800000000000,37.5432
1600556400000000000,37.5424
1600560000000000000,37.4655
1600563600000000000,37.4833
1600567200000000000,37.4993
1600570800000000000,37.4998
1600574400000000000,37.5012
1600578000000000000,37.4995
1600581600000000000,37.5000
1600585200000000000,37.4983
1600588800000000000,37.4983
1600592400000000000,37.5017
1600596000000000000,37.5015
1600599600000000000,37.5005
1600603200000000000,37.4993
1600606800000000000,37.4997
1600610400000000000,37.5008
1600614000000000000,37.5020
1600617600000000000,37.5027
1600621200000000000,37.5012
1600624800000000000,37.5010
1600628400000000000,37.5027
1600632000000000000,37.5058
1600635600000000000,37.5047
1600639200000000000,37.5073
1600642800000000000,37.4844
1600646400000000000,37.4060
1600650000000000000,37.4227
1600653600000000000,37.4435
1600657200000000000,37.4644
1600660800000000000,37.4697
1600664400000000000,37.4713
1600668000000000000,37.4708
1600671600000000000,37.4739
1600675200000000000,37.4751
1600678800000000000,37.4748
1600682400000000000,37.4754
1600686000000000000,37.4703
1600689600000000000,37.4736
1600693200000000000,37.4708
1600696800000000000,37.4712
1600700400000000000,37.4697
1600704000000000000,37.4729
1600707600000000000,37.4757
1600711200000000000,37.4768
1600714800000000000,37.4769
1600718400000000000,37.4760
1600722000000000000,37.4773
1600725600000000000,37.4744
1600729200000000000,37.4754
