RunQueue;syscall;%CPU;RunQueue;syscall;;User%;Sys%;Wait%
0,2;11699;1,08;4,64;176407;;13,1;5,4;1,6
0,4;8936;0,33;6,37;255866;;15,7;9,2;1,5
0,1;9123;0,22;4,85;183684;;14,5;6,2;1,7
0,4;9736;0,22;6,57;203463;;14,5;7;1,6
0,6;29162;2,66;5,4;187336;;13,9;6,7;1,6
1,5;60034;0,21;4,57;159180;;12,2;5,3;1,7
0,5;11090;0,21;;;;;;
0,2;7577;2,57;;;;;;
0,2;6434;0,22;;;;;;
0,4;11213;0,21;;;;;;
0,8;27888;1,09;;;;;;
0,7;48644;1,68;;;;;;
0,6;9120;0,21;;;;;;
0,2;8858;0,21;;;;;;
0;14871;1,7;;;;;;
0,4;10968;1,01;;;;;;
0,9;30012;0,23;;;;;;
0,9;45284;0,21;;;;;;
0,3;10238;2,08;;;;;;
0,1;5110;0,6;;;;;;
0,2;7254;0,22;;;;;;
0,1;9494;0,22;;;;;;
1;23708;2,64;;;;;;
0,6;49346;0,22;;;;;;
0,2;8131;0,22;;;;;;
0,3;8808;2,64;;;;;;
0,2;9173;0,22;;;;;;
0,1;9495;0,22;;;;;;
0,9;30488;2,69;;;;;;
0,7;42236;0,22;;;;;;
0,5;7330;0,21;;;;;;
0,4;3089;2,65;;;;;;
0,1;9125;0,22;;;;;;
0,1;9513;0,21;;;;;;
1;31889;0,47;;;;;;
0,7;59729;2,24;;;;;;
0,7;9146;0,22;;;;;;
0,7;8981;0,21;;;;;;
0,4;11255;1,04;;;;;;
0,4;10433;1,68;;;;;;
0,5;33333;0,22;;;;;;
0,8;44843;0,22;;;;;;
0,3;4667;1,57;;;;;;
0,5;6540;1,16;;;;;;
0,3;13741;0,23;;;;;;
0,1;9518;0,21;;;;;;
0,8;32421;1,87;;;;;;
1,1;43511;0,9;;;;;;
0,3;10224;0,23;;;;;;
0,55;8974;0,22;;;;;;
0,2;10311;2,32;;;;;;
0,7;9791;0,25;;;;;;
0,7;26573;0,22;;;;;;
0,9;36367;0,21;;;;;;
0,3;11692;2,69;;;;;;
0,4;8395;0,21;;;;;;
0,4;9650;0,22;;;;;;
0,1;9489;2,65;;;;;;
1,3;265085;0,22;;;;;;
1,4;261247;0,21;;;;;;
0,4;11583;2,57;;;;;;
0,5;8438;0,12;;;;;;
0;9654;0,23;;;;;;
0,2;9520;0,21;;;;;;
0,6;23809;2,75;;;;;;
1,5;61316;0,22;;;;;;
0,7;9327;0,21;;;;;;
0,5;9479;0,31;;;;;;
0,4;11751;2,38;;;;;;
0,4;10567;0,22;;;;;;
0,9;32133;0,21;;;;;;
0,8;44548;0,96;;;;;;
0,2;8746;1,76;;;;;;
0,4;9909;0,23;;;;;;
0,2;13372;0,22;;;;;;
0;7837;1,51;;;;;;
0,6;27389;1,21;;;;;;
