,clock,itemid,num,value_avg,value_max,value_min
167,1597075200,42799799,59,316940384221,323376504832,311105150976
168,1597078800,42799799,60,311962984311,323334635520,306198056960
169,1597082400,42799799,60,306171445316,323328442368,296805412864
170,1597086000,42799799,60,296610359705,320059346944,291838758912
171,1597089600,42799799,60,293785635430,311546724352,282540326912
172,1597093200,42799799,59,307543314640,323365384192,290498002944
173,1597096800,42799799,60,322789412386,323551334400,321780023296
174,1597100400,42799799,60,323102864452,323383595008,321662066688
175,1597104000,42799799,60,323084843349,323389784064,322709069824
176,1597107600,42799799,60,320810287035,323103592448,316503797760
177,1597111200,42799799,59,322251435754,322925064192,321834323968
178,1597114800,42799799,60,321726714606,323484340224,317108424704
179,1597118400,42799799,60,322899599360,323376418816,322733518848
180,1597122000,42799799,60,322317060505,322859188224,319630032896
181,1597125600,42799799,60,322311260023,322851717120,320606015488
182,1597129200,42799799,59,322658095173,322832957440,321276153856
183,1597132800,42799799,60,323072731340,323234525184,322186235904
184,1597136400,42799799,60,323155420979,323247165440,322185871360
185,1597140000,42799799,60,322672192716,323217354752,321358475264
186,1597143600,42799799,60,322791777280,323255582720,320621735936
187,1597147200,42799799,60,322531541674,323214016512,319335743488
188,1597150800,42799799,60,322156032750,323212816384,318360924160
189,1597154400,42799799,59,320997019509,323216842752,316373381120
190,1597158000,42799799,60,319021243938,323169611776,313134845952
191,1597161600,42799799,60,316839284258,323165564928,310856802304
192,1597165200,42799799,60,311817548731,323163312128,306035331072
193,1597168800,42799799,60,305721254434,323165831168,296214913024
194,1597172400,42799799,60,296150876296,322055974912,290760048640
195,1597176000,42799799,60,292940756241,307800592384,280399323136
196,1597179600,42799799,59,307888150632,323308007424,292596883456
197,1597183200,42799799,60,322415012864,323270320128,321200586752
198,1597186800,42799799,60,323030708633,323317964800,321051889664
199,1597190400,42799799,60,322959534830,323270967296,322588622848
200,1597194000,42799799,59,320736609366,322933743616,316371152896
201,1597197600,42799799,60,319610352025,322252689408,318860926976
202,1597201200,42799799,59,321114592342,323326971904,316767330304
203,1597204800,42799799,60,322780616704,323261255680,322559238144
204,1597208400,42799799,60,322224878387,322767757312,319419269120
205,1597212000,42799799,60,322192682325,322743975936,320415723520
206,1597215600,42799799,60,322513931264,322698530816,321104314368
207,1597219200,42799799,59,322881946502,323086303232,322072662016
208,1597222800,42799799,60,322997138636,323107942400,322027163648
209,1597226400,42799799,59,322532241130,323050414080,321203384320
210,1597230000,42799799,60,322610645060,323065782272,320541020160
211,1597233600,42799799,60,322395473169,323056992256,319292526592
212,1597237200,42799799,59,321946539441,323026833408,318202716160
213,1597240800,42799799,60,320594061380,323010113536,315850498048
214,1597244400,42799799,60,318397285102,323022548992,313021030400
215,1597248000,42799799,60,316189971797,323037302784,310383345664
216,1597251600,42799799,60,311397436347,323027476480,305584996352
217,1597255200,42799799,60,305217071854,322995965952,295780667392
218,1597258800,42799799,59,295784059088,318380437504,291048763392
219,1597262400,42799799,60,300296210841,327768350720,290692100096
220,1597266000,42799799,59,314588376185,324747923456,294868905984
221,1597269600,42799799,60,323939807846,324650377216,322829586432
222,1597273200,42799799,59,325091476983,325865701376,322773229568
223,1597276800,42799799,60,324712904430,325782671360,323925528576
224,1597280400,42799799,60,321814366754,325749669888,317633871872
225,1597284000,42799799,60,323393372501,323928678400,322788782080
226,1597287600,42799799,60,322649285700,324395782144,318065401856
227,1597291200,42799799,60,323785092642,324288516096,323644706816
228,1597294800,42799799,60,323022875784,323678650368,320290086912
229,1597298400,42799799,59,322914781288,323500281856,321437229056
230,1597302000,42799799,60,323191146222,323680636928,321807388672
231,1597305600,42799799,60,323622469973,323703906304,322895470592
232,1597309200,42799799,59,323517996153,323617509376,322561175552
233,1597312800,42799799,60,323059162316,323581775872,321696632832
234,1597316400,42799799,60,323164701149,323587289088,321090637824
235,1597320000,42799799,60,322815656413,323594547200,319649861632
