clock,value
2020-12-09 00:00:00,4.6971
2020-12-09 00:20:00,4.6403
2020-12-09 00:40:00,6.15
2020-12-09 01:00:00,7.1578
2020-12-09 01:20:00,7.1436
2020-12-09 01:40:00,7.4124
2020-12-09 02:00:00,7.2159
2020-12-09 02:20:00,7.1707
2020-12-09 02:40:00,7.3061
2020-12-09 03:00:00,7.3254
2020-12-09 03:20:00,7.4277
2020-12-09 03:40:00,7.4222
2020-12-09 04:00:00,8.1536
2020-12-09 04:20:00,9.0736
2020-12-09 04:40:00,7.6418
2020-12-09 05:00:00,7.9636
2020-12-09 05:20:00,8.0172
2020-12-09 05:40:00,6.9026
2020-12-09 06:00:00,5.1912
2020-12-09 06:20:00,5.5418
2020-12-09 06:40:00,5.6644
2020-12-09 07:00:00,5.9322
2020-12-09 07:20:00,6.2919
2020-12-09 07:40:00,6.5728
2020-12-09 08:00:00,7.1958
2020-12-09 08:20:00,7.8878
2020-12-09 08:40:00,8.4028
2020-12-09 09:00:00,9.3047
2020-12-09 09:20:00,10.047
2020-12-09 09:40:00,10.6797
2020-12-09 10:00:00,10.6324
2020-12-09 10:20:00,11.1476
2020-12-09 10:40:00,10.9359
2020-12-09 11:00:00,11.1432
2020-12-09 11:20:00,11.4625
2020-12-09 11:40:00,11.4363
2020-12-09 12:00:00,11.2966
2020-12-09 12:20:00,11.2182
2020-12-09 12:40:00,11.261
2020-12-09 13:00:00,10.7514
2020-12-09 13:20:00,10.6948
2020-12-09 13:40:00,10.7725
2020-12-09 14:00:00,10.5366
2020-12-09 14:20:00,10.3824
2020-12-09 14:40:00,10.2459
2020-12-09 15:00:00,10.2971
2020-12-09 15:20:00,10.3071
2020-12-09 15:40:00,9.7648
