clock,value
2020-12-03 15:20:00,30.5221
2020-12-03 15:40:00,29.239
2020-12-03 16:00:00,28.5557
2020-12-03 16:20:00,27.8588
2020-12-03 16:40:00,26.3076
2020-12-03 17:00:00,25.0551
2020-12-03 17:20:00,24.5222
2020-12-03 17:40:00,22.9287
2020-12-03 18:00:00,21.7285
2020-12-03 18:20:00,20.2311
2020-12-03 18:40:00,19.1471
2020-12-03 19:00:00,17.9126
2020-12-03 19:20:00,17.3225
2020-12-03 19:40:00,16.5928
2020-12-03 20:00:00,15.9996
2020-12-03 20:20:00,15.0141
2020-12-03 20:40:00,14.2517
2020-12-03 21:00:00,13.5295
2020-12-03 21:20:00,13.3239
2020-12-03 21:40:00,12.5643
2020-12-03 22:00:00,12.6387
2020-12-03 22:20:00,12.072
2020-12-03 22:40:00,11.384
2020-12-03 23:00:00,11.0226
2020-12-03 23:20:00,10.8466
2020-12-03 23:40:00,10.2785
2020-12-04 00:00:00,10.7237
2020-12-04 00:20:00,11.171
2020-12-04 00:40:00,13.8805
2020-12-04 01:00:00,14.0478
2020-12-04 01:20:00,17.5474
2020-12-04 01:40:00,17.075
2020-12-04 02:00:00,17.8492
2020-12-04 02:20:00,18.4209
2020-12-04 02:40:00,17.4604
2020-12-04 03:00:00,18.3906
2020-12-04 03:20:00,18.4671
2020-12-04 03:40:00,17.898
2020-12-04 04:00:00,23.6892
2020-12-04 04:20:00,22.2854
2020-12-04 04:40:00,15.6984
2020-12-04 05:00:00,11.952
2020-12-04 05:20:00,13.2482
2020-12-04 05:40:00,13.1374
2020-12-04 06:00:00,13.7504
2020-12-04 06:20:00,14.8095
2020-12-04 06:40:00,15.3521
2020-12-04 07:00:00,16.7659
2020-12-04 07:20:00,18.0499
2020-12-04 07:40:00,18.5137
2020-12-04 08:00:00,20.6617
2020-12-04 08:20:00,22.6008
2020-12-04 08:40:00,25.0659
2020-12-04 09:00:00,29.3444
2020-12-04 09:20:00,30.3669
2020-12-04 09:40:00,31.455
2020-12-04 10:00:00,33.7922
2020-12-04 10:20:00,35.9046
2020-12-04 10:40:00,35.5212
2020-12-04 11:00:00,35.3273
2020-12-04 11:20:00,39.1872
2020-12-04 11:40:00,35.5166
2020-12-04 12:00:00,36.065
2020-12-04 12:20:00,35.3172
2020-12-04 12:40:00,34.5246
2020-12-04 13:00:00,34.368
2020-12-04 13:20:00,34.5749
2020-12-04 13:40:00,33.8829
2020-12-04 14:00:00,34.5354
2020-12-04 14:20:00,33.8553
2020-12-04 14:40:00,32.2636
2020-12-04 15:00:00,32.0186
2020-12-04 15:20:00,32.0656
2020-12-04 15:40:00,30.099
2020-12-04 16:00:00,28.6463
2020-12-04 16:20:00,27.6486
2020-12-04 16:40:00,25.3458
2020-12-04 17:00:00,24.3528
2020-12-04 17:20:00,23.0364
2020-12-04 17:40:00,20.7461
2020-12-04 18:00:00,19.8802
2020-12-04 18:20:00,18.7662
2020-12-04 18:40:00,17.5504
2020-12-04 19:00:00,16.2562
2020-12-04 19:20:00,15.8287
2020-12-04 19:40:00,14.4265
2020-12-04 20:00:00,13.9922
2020-12-04 20:20:00,13.9327
2020-12-04 20:40:00,13.1351
2020-12-04 21:00:00,12.9895
2020-12-04 21:20:00,12.9823
2020-12-04 21:40:00,12.0925
2020-12-04 22:00:00,11.6982
2020-12-04 22:20:00,11.8349
2020-12-04 22:40:00,10.8124
2020-12-04 23:00:00,10.6189
2020-12-04 23:20:00,10.4714
2020-12-04 23:40:00,10.185
2020-12-05 00:00:00,11.018
2020-12-05 00:20:00,12.7361
2020-12-05 00:40:00,13.8908
2020-12-05 01:00:00,16.5735
2020-12-05 01:20:00,17.8446
2020-12-05 01:40:00,17.1554
2020-12-05 02:00:00,17.3421
2020-12-05 02:20:00,17.7028
2020-12-05 02:40:00,16.935
2020-12-05 03:00:00,17.5005
2020-12-05 03:20:00,17.859
2020-12-05 03:40:00,10.2733
2020-12-05 04:00:00,15.6422
2020-12-05 04:20:00,11.2559
2020-12-05 04:40:00,9.6735
2020-12-05 05:00:00,10.149
2020-12-05 05:20:00,10.7715
2020-12-05 05:40:00,10.4585
2020-12-05 06:00:00,11.0854
2020-12-05 06:20:00,11.969
2020-12-05 06:40:00,11.7473
2020-12-05 07:00:00,12.7105
2020-12-05 07:20:00,13.7103
2020-12-05 07:40:00,13.7227
2020-12-05 08:00:00,15.1331
2020-12-05 08:20:00,16.4189
2020-12-05 08:40:00,17.7632
2020-12-05 09:00:00,20.7053
2020-12-05 09:20:00,21.078
2020-12-05 09:40:00,20.8936
2020-12-05 10:00:00,23.0426
2020-12-05 10:20:00,23.785
2020-12-05 10:40:00,24.0584
2020-12-05 11:00:00,24.1473
2020-12-05 11:20:00,27.6806
2020-12-05 11:40:00,23.8115
2020-12-05 12:00:00,23.9425
2020-12-05 12:20:00,23.537
2020-12-05 12:40:00,22.0062
2020-12-05 13:00:00,22.7761
2020-12-05 13:20:00,15.0583
2020-12-05 13:40:00,12.2699
2020-12-05 14:00:00,12.3222
2020-12-05 14:20:00,12.3165
2020-12-05 14:40:00,16.3743
2020-12-05 15:00:00,32.1617
2020-12-05 15:20:00,38.4171
2020-12-05 15:40:00,37.8619
2020-12-05 16:00:00,22.8274
2020-12-05 16:20:00,16.2174
2020-12-05 16:40:00,15.3855
2020-12-05 17:00:00,15.6265
2020-12-05 17:20:00,14.8567
2020-12-05 17:40:00,13.8372
2020-12-05 18:00:00,13.9814
2020-12-05 18:20:00,14.205
2020-12-05 18:40:00,13.6409
2020-12-05 19:00:00,13.0811
2020-12-05 19:20:00,13.1836
2020-12-05 19:40:00,12.6552
2020-12-05 20:00:00,12.4825
2020-12-05 20:20:00,12.3032
2020-12-05 20:40:00,11.7248
2020-12-05 21:00:00,11.73
2020-12-05 21:20:00,11.7103
2020-12-05 21:40:00,11.3301
2020-12-05 22:00:00,10.8463
2020-12-05 22:20:00,10.6985
2020-12-05 22:40:00,10.2847
2020-12-05 23:00:00,9.4517
2020-12-05 23:20:00,9.6683
2020-12-05 23:40:00,8.0006
2020-12-06 00:00:00,8.353
2020-12-06 00:20:00,8.2563
2020-12-06 00:40:00,8.6819
2020-12-06 01:00:00,15.4603
2020-12-06 01:20:00,9.1994
2020-12-06 01:40:00,8.3524
2020-12-06 02:00:00,8.4273
2020-12-06 02:20:00,8.5483
2020-12-06 02:40:00,8.8264
2020-12-06 03:00:00,8.2657
2020-12-06 03:20:00,8.7378
2020-12-06 03:40:00,8.0051
2020-12-06 04:00:00,15.4456
2020-12-06 04:20:00,8.9506
2020-12-06 04:40:00,8.5689
2020-12-06 05:00:00,8.9701
2020-12-06 05:20:00,9.2604
2020-12-06 05:40:00,8.877
2020-12-06 06:00:00,9.1365
2020-12-06 06:20:00,9.6645
2020-12-06 06:40:00,9.4765
2020-12-06 07:00:00,9.882
2020-12-06 07:20:00,10.0073
2020-12-06 07:40:00,10.4053
2020-12-06 08:00:00,11.2032
2020-12-06 08:20:00,13.6327
2020-12-06 08:40:00,16.9224
2020-12-06 09:00:00,22.6187
2020-12-06 09:20:00,18.7278
2020-12-06 09:40:00,14.6243
2020-12-06 10:00:00,15.0186
2020-12-06 10:20:00,15.2899
2020-12-06 10:40:00,14.6445
2020-12-06 11:00:00,15.5623
2020-12-06 11:20:00,19.7799
2020-12-06 11:40:00,16.4638
